,name,product,location,"Sulfur","Silver","Cadmium","Manganese","Potassium","Vanadium","Cerium","Dysprosium","Gadolinium","Iridium","Lanthanum","Lithium","Neodymium","Scandium","Selenium","Tellurium","Yttrium","Cobalt","Gallium","Strontium","Zirconium","Platinum","Nickel"
10,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage",TH,6.177280679964367e-05,7.034895981620295e-07,7.192594187895496e-09,2.913955188790799e-05,5.840763986251866e-06,2.797579487223197e-10,1.1985791136152301e-07,9.189065235136678e-11,1.644568747344462e-09,0.0,6.220709466756844e-08,6.52191903281482e-11,4.264227301955562e-08,1.6971664518715613e-10,4.920409975027193e-07,9.027559594945176e-08,3.3693239485505977e-10,3.846764256434877e-07,2.2066566753645885e-07,1.787186032114137e-08,1.7799839514227853e-06,1.8933121233935352e-10,2.6401473421230712e-05
11,"paper mill construction, integrated","paper mill, integrated",RER,451797.75969766476,915.0256294339696,53.31479740030777,180369.47333504038,5462.600546802874,2.0736938399463405,637.4608161158428,0.1333663040298019,8.875914981252238,0.0,303.49663178486105,0.06875740472954767,233.38570493092854,1.1025667395671261,2343.7264584445634,430.08903210048317,0.489009785631945,2876.6031688516105,496.4767836303567,153.71654739416311,6966.405064754047,1.2101760567291375,1363620.3833795986
12,"laser machining, metal, with YAG-laser, 330W power","laser machining, metal, with YAG-laser, 330W power",CA-QC,0.008812744496773163,7.795045963633555e-06,2.915186791864219e-07,0.004977454396785567,4.571973980934351e-05,1.1338700240741602e-08,1.723641809200447e-05,1.563530200766284e-09,2.4074083053398547e-07,0.0,8.049090518611963e-06,7.509626270109938e-09,6.348461077800523e-06,3.0961734164278616e-08,5.4582586832218446e-05,1.0019171131481141e-05,5.732944118533446e-09,5.302660429669994e-05,3.748452743502727e-06,3.445298170339315e-07,7.246129374057178e-05,2.0508774995320606e-08,0.015784393908319937
13,"treatment of waste paint, hazardous waste incineration, with energy recovery","electricity, for reuse in municipal waste incineration only",RoW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"planing, beam, hardwood, u=10%","shavings, hardwood, loose, measured as dry mass",Europe without Switzerland,5.333169214277709e-06,1.1372471949513034e-08,1.4751545087868222e-09,1.6631996099424617e-05,2.910697853721532e-06,5.737654401874716e-11,5.844357406810576e-08,1.2751256290405255e-11,8.135694282882304e-10,0.0,2.7865455860608253e-08,3.5678797003464313e-11,2.138750512425157e-08,1.0079052025288003e-10,9.495943969501735e-09,1.7774867547398434e-09,4.6754606796948825e-11,3.7147285889627935e-08,6.688911060289812e-09,4.311436063564369e-09,2.614705830806278e-07,8.248089828472952e-11,1.4225800370658841e-05
15,"treatment of coal gas, in power plant","heat, district or industrial, other than natural gas",FR,1.1348610347696745e-06,1.2628789251225997e-09,7.447074433224918e-11,4.54469349690007e-06,2.0249134685820012e-07,2.896560316596828e-12,2.0339144964601568e-08,1.0839541683170334e-11,2.8080316019408906e-10,0.0,1.0190282396254594e-08,1.1565852900984747e-12,7.324341220917773e-09,3.1474485844558346e-11,6.110071095530949e-09,1.1277629959243777e-09,3.974498651195349e-11,7.441024840555925e-09,2.3453622710835336e-09,1.2963456101076096e-10,1.1380611677445803e-07,8.223100948245815e-12,2.6505179341946722e-06
16,"crude oil, at production onshore","crude oil, at production onshore",IQ,9.375608279219341e-06,9.11695049251038e-09,6.718523728557386e-10,9.142415415202582e-05,4.272168142565351e-07,2.6131884956655268e-11,4.1183388156729296e-07,2.749247100944897e-11,5.755668909285259e-09,0.0,1.9155956176061854e-07,1.7538393597358055e-11,1.5186837231474965e-07,7.45326763206178e-10,2.3398222265598636e-08,4.4185958379513045e-09,1.0080572789739325e-10,6.27749533435312e-08,4.377985538109927e-09,1.3513473041021393e-09,5.465470221873266e-06,4.876349102970386e-11,4.066193982476505e-05
17,"electricity production, hydro, reservoir, alpine region","electricity, high voltage",IN-HP,2.5112698915697204e-06,1.1660375496057069e-09,2.286587324189112e-10,7.41193145878188e-06,9.602429738550071e-08,8.893744972513803e-12,1.9448008998059695e-08,6.048125840947051e-13,2.7205201167050434e-10,0.0,8.992633596388715e-09,6.332887626962751e-13,7.1845399640749505e-09,3.558669239113688e-11,2.0711924435813213e-09,3.962337457920301e-10,2.217646160560042e-12,1.6251623436990565e-08,1.8123178027159494e-09,2.0653727116745897e-10,2.9712504176486667e-08,5.1810792460116836e-12,1.585234666716435e-05
18,"treatment of blast furnace gas, in power plant","electricity, high voltage",CA-PE,6.33120411087474e-06,7.372181730760287e-09,2.870706682925291e-10,3.708030946800274e-06,3.5032656271171434e-08,1.1165693619028779e-11,1.5272037704846e-08,1.0510890567911548e-12,2.1342599977730775e-10,0.0,7.106035052094123e-09,5.449337627345998e-13,5.631149392808257e-09,2.7621184248189445e-11,5.371791068297608e-08,9.855051559029277e-09,3.853993241138604e-12,4.0649538897943083e-08,7.878162185872308e-09,3.3347854059806097e-10,6.611594254614453e-08,1.968941790486884e-11,2.6590580332051893e-06
19,"electricity production, hydro, run-of-river","electricity, high voltage",CA-YK,1.8954898721564887e-06,9.33754767940918e-10,1.7147364606067416e-10,1.0281643976514731e-05,2.3309965785096032e-08,6.669515141136012e-12,2.7598438703965434e-08,4.837184166040051e-13,3.862020962590437e-10,0.0,1.2732510886475655e-08,4.192898277683559e-13,1.0202445905727095e-08,5.071139607340613e-11,2.3120033640563175e-09,4.462805674633297e-10,1.7736342093056365e-12,1.2396272997801839e-08,9.191954944635005e-10,1.4796139451818307e-10,2.713499180526569e-08,5.011016551445594e-12,1.1027743452105667e-05
